GEOID,B23022_001E,B23022_002E,B23022_003E,B23022_004E,B23022_005E,B23022_006E,B23022_007E,B23022_008E,B23022_009E,B23022_010E,B23022_011E,B23022_012E,B23022_013E,B23022_014E,B23022_015E,B23022_016E,B23022_017E,B23022_018E,B23022_019E,B23022_020E,B23022_021E,B23022_022E,B23022_023E,B23022_024E,B23022_025E,B23022_026E,B23022_027E,B23022_028E,B23022_029E,B23022_030E,B23022_031E,B23022_032E,B23022_033E,B23022_034E,B23022_035E,B23022_036E,B23022_037E,B23022_038E,B23022_039E,B23022_040E,B23022_041E,B23022_042E,B23022_043E,B23022_044E,B23022_045E,B23022_046E,B23022_047E,B23022_048E,B23022_049E
37051002001,2280.0,1095.0,881.0,776.0,722.0,0.0,33.0,21.0,0.0,0.0,98.0,56.0,0.0,0.0,0.0,0.0,42.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,214.0,1185.0,949.0,724.0,660.0,0.0,23.0,14.0,17.0,10.0,198.0,137.0,0.0,0.0,20.0,9.0,32.0,27.0,0.0,0.0,0.0,0.0,0.0,27.0,236.0
37051002002,3185.0,1427.0,1273.0,1082.0,953.0,0.0,60.0,28.0,0.0,41.0,191.0,79.0,0.0,0.0,60.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,1758.0,1391.0,1053.0,927.0,0.0,24.0,18.0,37.0,47.0,327.0,140.0,0.0,18.0,50.0,56.0,63.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,367.0
37051002100,2537.0,1302.0,1147.0,1012.0,926.0,9.0,32.0,0.0,25.0,20.0,117.0,101.0,0.0,0.0,0.0,0.0,16.0,18.0,5.0,0.0,0.0,0.0,0.0,13.0,155.0,1235.0,914.0,744.0,647.0,8.0,9.0,21.0,29.0,30.0,148.0,90.0,23.0,8.0,13.0,9.0,5.0,22.0,9.0,0.0,0.0,0.0,0.0,13.0,321.0
37051002200,1902.0,953.0,861.0,785.0,750.0,0.0,0.0,14.0,16.0,5.0,53.0,52.0,0.0,0.0,1.0,0.0,0.0,23.0,16.0,0.0,0.0,0.0,7.0,0.0,92.0,949.0,679.0,530.0,496.0,0.0,0.0,6.0,14.0,14.0,149.0,109.0,0.0,0.0,16.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0
37051002301,2012.0,779.0,507.0,436.0,375.0,0.0,0.0,0.0,26.0,35.0,61.0,47.0,0.0,0.0,0.0,0.0,14.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,272.0,1233.0,627.0,585.0,540.0,0.0,0.0,18.0,27.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,0.0,10.0,606.0
37051002302,740.0,357.0,279.0,200.0,181.0,0.0,19.0,0.0,0.0,0.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,383.0,262.0,194.0,171.0,0.0,0.0,0.0,23.0,0.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0
37051002401,890.0,400.0,268.0,165.0,137.0,0.0,16.0,6.0,6.0,0.0,99.0,74.0,0.0,4.0,4.0,17.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,132.0,490.0,274.0,190.0,142.0,0.0,9.0,0.0,19.0,20.0,84.0,52.0,0.0,16.0,7.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0
37051002402,2168.0,894.0,700.0,601.0,528.0,0.0,7.0,22.0,0.0,44.0,95.0,54.0,0.0,11.0,16.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,194.0,1274.0,1006.0,749.0,624.0,9.0,29.0,12.0,42.0,33.0,236.0,189.0,0.0,15.0,0.0,15.0,17.0,21.0,0.0,0.0,0.0,6.0,15.0,0.0,268.0
37051002501,4578.0,2242.0,1601.0,1489.0,1205.0,19.0,75.0,15.0,95.0,80.0,112.0,61.0,8.0,0.0,23.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.0,2336.0,1625.0,1218.0,1097.0,29.0,30.0,15.0,47.0,0.0,349.0,249.0,0.0,19.0,20.0,14.0,47.0,58.0,0.0,20.0,0.0,0.0,12.0,26.0,711.0
37051002503,3057.0,1543.0,1174.0,1004.0,962.0,0.0,0.0,6.0,14.0,22.0,159.0,89.0,0.0,0.0,35.0,0.0,35.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,369.0,1514.0,1214.0,939.0,768.0,0.0,9.0,41.0,74.0,47.0,240.0,139.0,0.0,0.0,66.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,35.0,300.0
37051002504,4732.0,2343.0,1926.0,1614.0,1591.0,0.0,0.0,17.0,6.0,0.0,285.0,204.0,0.0,0.0,36.0,30.0,15.0,27.0,0.0,0.0,0.0,0.0,27.0,0.0,417.0,2389.0,1727.0,1241.0,1029.0,39.0,70.0,43.0,35.0,25.0,437.0,358.0,0.0,14.0,0.0,53.0,12.0,49.0,0.0,0.0,0.0,0.0,16.0,33.0,662.0
37051002505,2843.0,1639.0,1009.0,729.0,471.0,40.0,35.0,14.0,61.0,108.0,263.0,38.0,21.0,51.0,26.0,66.0,61.0,17.0,0.0,0.0,0.0,0.0,17.0,0.0,630.0,1204.0,661.0,470.0,379.0,0.0,10.0,25.0,19.0,37.0,191.0,136.0,0.0,7.0,6.0,25.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.0
37051002506,2369.0,1210.0,980.0,878.0,872.0,0.0,0.0,0.0,0.0,6.0,48.0,32.0,16.0,0.0,0.0,0.0,0.0,54.0,12.0,0.0,0.0,0.0,19.0,23.0,230.0,1159.0,916.0,733.0,570.0,0.0,62.0,50.0,37.0,14.0,147.0,120.0,0.0,0.0,17.0,10.0,0.0,36.0,19.0,0.0,0.0,0.0,0.0,17.0,243.0
37051002600,2672.0,1407.0,1000.0,799.0,665.0,39.0,31.0,4.0,46.0,14.0,167.0,60.0,2.0,0.0,3.0,14.0,88.0,34.0,0.0,0.0,0.0,0.0,0.0,34.0,407.0,1265.0,870.0,567.0,485.0,17.0,14.0,8.0,7.0,36.0,197.0,102.0,0.0,19.0,3.0,51.0,22.0,106.0,59.0,0.0,15.0,0.0,0.0,32.0,395.0
37051002701,1614.0,851.0,673.0,629.0,462.0,12.0,5.0,25.0,14.0,111.0,35.0,30.0,0.0,0.0,0.0,2.0,3.0,9.0,5.0,0.0,0.0,2.0,0.0,2.0,178.0,763.0,637.0,444.0,429.0,2.0,1.0,1.0,6.0,5.0,143.0,29.0,14.0,11.0,26.0,31.0,32.0,50.0,41.0,0.0,4.0,5.0,0.0,0.0,126.0
37051002702,3883.0,1961.0,1331.0,1279.0,1005.0,14.0,34.0,21.0,42.0,163.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,630.0,1922.0,1468.0,901.0,776.0,40.0,41.0,17.0,27.0,0.0,504.0,353.0,0.0,6.0,22.0,115.0,8.0,63.0,22.0,0.0,15.0,3.0,13.0,10.0,454.0
37051002801,2996.0,1398.0,1155.0,979.0,931.0,0.0,15.0,0.0,6.0,27.0,175.0,123.0,0.0,0.0,8.0,0.0,44.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,243.0,1598.0,1161.0,812.0,679.0,4.0,58.0,14.0,34.0,23.0,296.0,85.0,0.0,6.0,182.0,23.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,53.0,437.0
37051002802,1800.0,957.0,680.0,532.0,499.0,33.0,0.0,0.0,0.0,0.0,148.0,117.0,0.0,0.0,16.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,843.0,392.0,331.0,293.0,0.0,38.0,0.0,0.0,0.0,61.0,48.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.0
37051002900,3131.0,1602.0,1184.0,1086.0,1017.0,0.0,0.0,20.0,16.0,33.0,98.0,79.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.0,1529.0,1015.0,864.0,756.0,61.0,16.0,0.0,14.0,17.0,88.0,49.0,0.0,0.0,39.0,0.0,0.0,63.0,15.0,9.0,0.0,0.0,21.0,18.0,514.0
37051003002,1746.0,909.0,615.0,493.0,387.0,0.0,16.0,71.0,7.0,12.0,104.0,69.0,0.0,22.0,13.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,5.0,13.0,294.0,837.0,507.0,463.0,426.0,0.0,20.0,9.0,0.0,8.0,35.0,10.0,0.0,8.0,7.0,0.0,10.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,330.0
37051003003,4793.0,2189.0,1550.0,1469.0,1273.0,18.0,86.0,64.0,0.0,28.0,80.0,47.0,0.0,0.0,0.0,0.0,33.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,639.0,2604.0,1805.0,1306.0,1159.0,13.0,0.0,18.0,16.0,100.0,499.0,206.0,0.0,25.0,88.0,114.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.0
37051003004,4270.0,2097.0,1640.0,1512.0,1465.0,0.0,47.0,0.0,0.0,0.0,128.0,115.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0,2173.0,1472.0,1278.0,1039.0,0.0,113.0,88.0,9.0,29.0,166.0,89.0,0.0,0.0,0.0,25.0,52.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,701.0
